Calculating calibration curve...
calibration line is -0.89x + 13131.66
Sensor warming up, please wait...
...............
Writing to display
2022-12-30;00:19:10.080828;406;4;13229;18410;1192.0
2022-12-30;00:19:11.385984;413;6;13224;18412;1196.0
2022-12-30;00:19:12.690694;421;5;13221;18399;1199.0
2022-12-30;00:19:13.995357;412;15;13222;18402;1198.0
2022-12-30;00:19:15.300026;409;3;13230;18398;1191.0
2022-12-30;00:19:16.604633;400;1;13230;18416;1191.0
2022-12-30;00:19:17.909170;412;4;13220;18420;1200.0
2022-12-30;00:19:19.213818;425;6;13214;18403;1205.0
2022-12-30;00:19:20.518922;415;9;13220;18403;1200.0
2022-12-30;00:19:21.823215;416;10;13220;18406;1200.0
2022-12-30;00:19:23.128199;421;5;13216;18410;1204.0
2022-12-30;00:19:24.434578;412;2;13228;18418;1193.0
2022-12-30;00:19:25.739123;424;11;13220;18410;1200.0
2022-12-30;00:19:27.047054;419;2;13218;18412;1202.0
2022-12-30;00:19:28.351727;422;7;13219;18406;1201.0
2022-12-30;00:19:29.656714;419;5;13220;18411;1200.0
2022-12-30;00:19:30.961197;424;11;13215;18404;1205.0
2022-12-30;00:19:32.266219;412;13;13217;18404;1203.0
2022-12-30;00:19:33.573201;415;10;13224;18411;1196.0
2022-12-30;00:19:34.877619;400;10;13231;18413;1190.0
2022-12-30;00:19:36.182152;415;10;13220;18404;1200.0
2022-12-30;00:19:37.489650;413;12;13228;18411;1193.0
2022-12-30;00:19:38.793449;400;8;13221;18405;1199.0
2022-12-30;00:19:40.098150;404;5;13221;18412;1199.0
2022-12-30;00:19:41.402948;416;12;13224;18417;1196.0
2022-12-30;00:19:42.707661;410;3;13225;18416;1196.0
2022-12-30;00:19:44.012154;414;14;13219;18406;1201.0
2022-12-30;00:19:45.316954;400;0;13229;18417;1192.0
2022-12-30;00:19:46.621159;420;6;13217;18410;1203.0
2022-12-30;00:19:47.925803;414;6;13214;18407;1205.0
2022-12-30;00:19:49.230286;404;1;13229;18409;1192.0
2022-12-30;00:19:50.534855;406;7;13220;18402;1200.0
2022-12-30;00:19:51.839767;412;6;13225;18405;1196.0
2022-12-30;00:19:53.147390;400;4;13231;18411;1190.0
2022-12-30;00:19:54.451785;407;12;13217;18406;1203.0
2022-12-30;00:19:55.756264;408;13;13234;18413;1188.0
2022-12-30;00:19:57.063996;404;6;13230;18416;1191.0
2022-12-30;00:19:58.368732;413;7;13224;18409;1196.0
2022-12-30;00:19:59.673522;411;7;13229;18412;1192.0
2022-12-30;00:20:00.978201;408;5;13233;18411;1188.0
2022-12-30;00:20:02.299285;416;9;13225;18409;1196.0
2022-12-30;00:20:03.604243;414;6;13225;18402;1196.0
2022-12-30;00:20:04.909227;407;5;13224;18416;1196.0
2022-12-30;00:20:06.214254;411;5;13222;18416;1198.0
2022-12-30;00:20:07.521033;409;5;13224;18425;1196.0
